mode,legacy_url,serves_or_redirects_to,impressions_16mo,clicks_16mo
preserve,/cleaning-services-calgary/,/calgary/,468459,1315
preserve,/move-out-cleaning-edmonton/,/edmonton/move-in-move-out-cleaning/,251178,686
preserve,/commercial-cleaning-services-calgary/,/calgary/commercial-cleaning/,136659,23
preserve,/move-out-cleaning-calgary/,/calgary/move-in-move-out-cleaning/,116317,92
preserve,/post-construction-cleaning/,/edmonton/post-construction-cleaning/,101701,154
preserve,/services/,/edmonton/services/,78958,53
preserve,/post-construction-cleaning-calgary/,/calgary/post-construction-cleaning/,54453,11
preserve,/cleaning-services-beaumont/,/locations/beaumont/,44138,46
preserve,/contact-us/,/contact/,43173,43
preserve,/cleaning-services-morinville/,/locations/morinville/,41995,50
preserve,/pricing/,/edmonton/pricing/,29379,99
preserve,/cleaning-services-sherwood-park/,/locations/sherwood-park/,24577,45
preserve,/cleaning-services-leduc/,/locations/leduc/,23690,62
preserve,/cleaning-services-spruce-grove/,/locations/spruce-grove/,23508,39
preserve,/airbnb-cleaning-services-calgary/,/calgary/airbnb-cleaning/,22924,9
preserve,/cleaning-services-st-albert/,/locations/st-albert/,22375,49
preserve,/how-much-does-a-house-cleaning-cost/,/blog/house-cleaning-cost/,17782,28
preserve,/cleaning-services-airdrie/,/locations/airdrie/,15899,6
preserve,/cleaning-services-devon/,/locations/devon/,14092,57
preserve,/faqs/,/faq/,12764,3
preserve,/wall-washing-wall-cleaning/,/edmonton/wall-washing/,12418,185
preserve,/cleaning-services-fort-saskatchewan/,/locations/fort-saskatchewan/,11976,44
preserve,/cleaning-services-cochrane/,/locations/cochrane/,11692,9
preserve,/wall-washing-wall-cleaning-calgary/,/calgary/wall-washing/,7354,168
preserve,/cleaning-services-stony-plain/,/locations/stony-plain/,5446,18
preserve,/cleaning-services-windermere/,/locations/windermere/,3309,16
preserve,/cleaning-with-vinegar-and-baking-soda/,/blog/vinegar-baking-soda/,2718,0
preserve,/the-top-5-must-have-cleaning-products-for-a-spotless-home/,/blog/cleaning-products/,426,0
redirect,/8038/how-much-does-a-house-cleaning-cost/,/how-much-does-a-house-cleaning-cost/,89115,142
redirect,/8081/the-top-5-must-have-cleaning-products-for-a-spotless-home/,/the-top-5-must-have-cleaning-products-for-a-spotless-home/,73104,281
redirect,/8060/how-often-should-a-cleaning-service-clean-my-house/,/blog/cleaning-frequency/,44921,264
redirect,/services/move-in-move-out-cleaning/,/move-out-cleaning-edmonton/,28633,34
redirect,/8088/cleaning-with-vinegar-and-baking-soda/,/cleaning-with-vinegar-and-baking-soda/,28619,31
redirect,/8102/a-house-cleaning-schedule-that-does-not-overwhelm-you/,/blog/cleaning-schedule/,14131,61
redirect,/services/commercial-cleaning/,/commercial-cleaning/,10200,1
redirect,/services/post-construction-cleaning/,/post-construction-cleaning/,9473,25
redirect,/booking-page/,/book/,9130,113
redirect,/move-in-move-out-cleaning/,/move-out-cleaning-edmonton/,5988,9
redirect,/cleaning-services-for-fort-saskatchewan-ab/,/cleaning-services-fort-saskatchewan/,2467,19
redirect,/1948/house-cleaning-tips-for-a-spotless-home-environment/,/blog/,2323,1
redirect,/march-out-cleaning-calgary/,/move-out-cleaning-calgary/,2088,12
redirect,/how-to-deep-clean-your-home/,/edmonton/deep-cleaning/,1733,0
redirect,/cleaning-services-okotoks/,/locations/okotoks/,1500,2
redirect,/cleaning-services-black-diamond/,/locations/black-diamond/,1333,10
redirect,/cleaning-services-chestermere/,/locations/chestermere/,1240,0
redirect,/10042/cleaning-services-calgary-transform-your-space/,/cleaning-services-calgary/,1230,3
redirect,/cleaning-services-downtown-edmonton-ab/,/locations/downtown-edmonton/,1114,8
redirect,/cleaning-services-langdon/,/locations/langdon/,1088,20
redirect,/airbnb-cleaning-service/,/edmonton/airbnb-cleaning/,918,0
redirect,/cleaning-services-strathmore/,/locations/strathmore/,855,1
redirect,/march-out-cleaning-edmonton/,/edmonton/march-out-cleaning/,806,9
redirect,/cleaning-services-red-deer/,/locations/,600,1
redirect,/cleaning-services-glenora-edmonton-ab/,/locations/glenora-edmonton/,528,8
redirect,/1848/house-cleaning-hacks-easy-tips-for-busy-lives/,/blog/,521,0
redirect,/how-often-should-a-cleaning-service-clean-my-house/,/blog/cleaning-frequency/,509,5
redirect,/services/wall-washing-wall-cleaning/,/wall-washing-wall-cleaning/,459,1
redirect,/cleaning-services-riverdale-edmonton-ab/,/locations/riverdale-edmonton/,444,6
redirect,/cleaning-services-edmonton/,/,430,0
redirect,/cleaning-services-avonmore-edmonton-ab/,/locations/avonmore-edmonton/,415,8
redirect,/cleaning-services-hazeldean-edmonton-ab/,/locations/hazeldean/,353,2
redirect,/the-benefits-of-using-leather-conditioner-for-automotive-seats-and-home-furniture/,/blog/,291,0
redirect,/9448/cleaning-services-edmonton-you-can-trust/,/,281,1
redirect,/2038/top-benefits-of-professional-cleaning-services-today/,/blog/,247,0
redirect,/cleaning-services-turner-valley/,/locations/turner-valley/,237,0
redirect,/cleaning-services-crossfield/,/locations/crossfield/,221,2
redirect,/cleaning-services-bonnie-doon-edmonton-ab/,/locations/bonnie-doon-edmonton/,215,4
redirect,/cleaning-services-abbottsfield-edmonton-ab/,/locations/abbottsfield-edmonton/,175,3
redirect,/cleaning-services-canora-edmonton-ab/,/locations/canora-edmonton/,173,4
redirect,/how-it-works/,/,150,0
redirect,/cleaning-services-greenfield-edmonton-ab/,/locations/greenfield-edmonton/,114,0
redirect,/why-hire-duty-cleaners-for-commercial-cleaning/,/commercial-cleaning/,103,0
redirect,/cleaning-services-dovercourt-edmonton-ab/,/locations/dovercourt-edmonton/,100,0
redirect,/cleaning-services-evansdale-edmonton-ab/,/locations/evansdale-edmonton/,87,1
redirect,/cleaning-services-ambleside-edmonton-ab/,/locations/ambleside-edmonton/,84,6
redirect,/cleaning-services-glenwood-edmonton-ab/,/locations/glenwood-edmonton/,72,0
redirect,/tag/cleaning-services/,/blog/,69,0
redirect,/services-pricing/commercial-cleaning-edmonton/,/commercial-cleaning/,68,0
redirect,/cleaning-services-ottewell-edmonton-ab/,/locations/ottewell-edmonton/,63,1
redirect,/cleaning-services-inglewood-edmonton-ab/,/locations/inglewood/,59,1
redirect,/cleaning-services-mcconachie-edmonton-ab/,/locations/mcconachie-edmonton/,53,3
redirect,/cleaning-services-belvedere-edmonton-ab/,/locations/belvedere-edmonton/,50,0
redirect,/cleaning-services-boyle-street-edmonton-ab/,/locations/boyle-street-edmonton/,49,0
redirect,/cleaning-services-delton-edmonton-ab/,/locations/delton/,49,0
redirect,/cleaning-services-aspen-gardens-edmonton-ab/,/locations/aspen-gardens-edmonton/,47,2
redirect,/1735/choosing-the-right-cleaning-company-for-your-needs/,/blog/choosing-cleaning-company/,42,0
redirect,/cleaning-services-high-river/,/locations/high-river/,41,0
redirect,/cleaning-services-allendale-edmonton-ab/,/locations/allendale/,38,0
redirect,/cleaning-services-matt-berry-edmonton-ab/,/locations/matt-berry-edmonton/,37,1
redirect,/cleaning-services-beacon-heights-edmonton-ab/,/locations/beacon-heights-edmonton/,36,1
redirect,/cleaning-services-rapperswill-edmonton-ab/,/locations/rapperswill-edmonton/,34,0
redirect,/march-out-cleaning/,/edmonton/march-out-cleaning/,30,0
redirect,/cleaning-services-queen-alexandra-edmonton-ab/,/locations/queen-alexandra-edmonton/,24,1
redirect,/cleaning-services-montrose-edmonton-ab/,/locations/montrose/,24,0
redirect,/cleaning-services-prince-charles-edmonton-ab/,/locations/prince-charles-edmonton/,14,0
redirect,/natural-cleaning-solutions-for-your-kitchen-appliances/,/cleaning-with-vinegar-and-baking-soda/,14,0
redirect,/services-pricing/move-in-move-out/,/move-out-cleaning-edmonton/,12,0
redirect,/shop/,/,11,0
redirect,/cleaning-services-glengarry-edmonton-ab/,/locations/glengarry-edmonton/,11,0
redirect,/checkout/,/book/,10,0
redirect,/cleaning-services-capilano-edmonton-ab/,/locations/capilano-edmonton/,9,0
redirect,/cleaning-services-castle-downs-edmonton-ab/,/locations/castle-downs/,8,0
redirect,/airbnb-cleaning-services-edmonton/,/edmonton/airbnb-cleaning/,7,0
redirect,/cleaning-services-hermitage-edmonton-ab/,/locations/hermitage-edmonton/,6,0
redirect,/cleaning-services-casselman-edmonton-ab/,/locations/casselman-edmonton/,5,0
redirect,/cleaning-services-griesbach-edmonton-ab/,/locations/griesbach-edmonton/,4,1
redirect,/cart/,/,2,0
redirect,/my-account/,/,1,1
redirect,/cochrane-cleaning-services/,/cleaning-services-cochrane/,1,0
redirect,/cleaning-services-belmont-edmonton-ab/,/locations/belmont-edmonton/,1,0
redirect,/#!/,/,1,0
redirect,/what-to-expect-from-professional-cleaners/,/blog/choosing-cleaning-company/,1,0
redirect,/cleaning-services-lauderdale-edmonton-ab/,/locations/lauderdale/,1,0
redirect,/2011/how-cleaning-services-improve-your-homes-health/,/blog/,1,0
